94 5
{'Survive': 0, 'Schedule': 0, 'Execution': 0, 'Endtime': 16, 'Invalid': 80, 'Global Episode': 0, 'Reward': -20.0}
{'Survive': 0, 'Schedule': 32, 'Execution': 41, 'Endtime': 21, 'Invalid': 39, 'Global Episode': 22000, 'Reward': 39.50833333333334}
{'Survive': 0, 'Schedule': 32, 'Execution': 46, 'Endtime': 21, 'Invalid': 35, 'Global Episode': 23000, 'Reward': 45.84166666666667}
{'Survive': 0, 'Schedule': 35, 'Execution': 48, 'Endtime': 21, 'Invalid': 31, 'Global Episode': 24000, 'Reward': 49.96666666666667}
{'Survive': 0, 'Schedule': 30, 'Execution': 47, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 25000, 'Reward': 46.05833333333332}
{'Survive': 0, 'Schedule': 32, 'Execution': 45, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 26000, 'Reward': 44.300000000000004}
{'Survive': 0, 'Schedule': 30, 'Execution': 40, 'Endtime': 21, 'Invalid': 40, 'Global Episode': 27000, 'Reward': 37.266666666666666}
{'Survive': 0, 'Schedule': 33, 'Execution': 43, 'Endtime': 21, 'Invalid': 34, 'Global Episode': 28000, 'Reward': 42.70416666666666}
{'Survive': 0, 'Schedule': 32, 'Execution': 46, 'Endtime': 21, 'Invalid': 34, 'Global Episode': 29000, 'Reward': 46.13333333333332}
{'Survive': 0, 'Schedule': 26, 'Execution': 38, 'Endtime': 16, 'Invalid': 30, 'Global Episode': 30000, 'Reward': 36.204166666666666}
{'Survive': 0, 'Schedule': 30, 'Execution': 47, 'Endtime': 21, 'Invalid': 42, 'Global Episode': 31000, 'Reward': 44.05833333333333}
{'Survive': 0, 'Schedule': 32, 'Execution': 48, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 32000, 'Reward': 48.75833333333332}
{'Survive': 0, 'Schedule': 31, 'Execution': 47, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 33000, 'Reward': 47.199999999999996}
{'Survive': 0, 'Schedule': 32, 'Execution': 42, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 34000, 'Reward': 40.604166666666664}
{'Survive': 0, 'Schedule': 36, 'Execution': 51, 'Endtime': 21, 'Invalid': 24, 'Global Episode': 35000, 'Reward': 54.98749999999999}
{'Survive': 0, 'Schedule': 33, 'Execution': 50, 'Endtime': 21, 'Invalid': 34, 'Global Episode': 36000, 'Reward': 49.90416666666667}
{'Survive': 0, 'Schedule': 27, 'Execution': 41, 'Endtime': 21, 'Invalid': 43, 'Global Episode': 37000, 'Reward': 36.825}
{'Survive': 0, 'Schedule': 32, 'Execution': 51, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 38000, 'Reward': 51.3625}
{'Survive': 0, 'Schedule': 30, 'Execution': 47, 'Endtime': 21, 'Invalid': 42, 'Global Episode': 39000, 'Reward': 44.05833333333333}
{'Survive': 0, 'Schedule': 30, 'Execution': 50, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 40000, 'Reward': 48.825}
{'Survive': 0, 'Schedule': 33, 'Execution': 47, 'Endtime': 21, 'Invalid': 28, 'Global Episode': 41000, 'Reward': 49.44583333333332}
{'Survive': 0, 'Schedule': 30, 'Execution': 44, 'Endtime': 21, 'Invalid': 35, 'Global Episode': 42000, 'Reward': 43.39583333333333}
{'Survive': 0, 'Schedule': 33, 'Execution': 50, 'Endtime': 21, 'Invalid': 34, 'Global Episode': 43000, 'Reward': 49.90416666666667}
{'Survive': 0, 'Schedule': 28, 'Execution': 49, 'Endtime': 21, 'Invalid': 44, 'Global Episode': 44000, 'Reward': 45.31666666666667}
{'Survive': 0, 'Schedule': 34, 'Execution': 66, 'Endtime': 31, 'Invalid': 48, 'Global Episode': 45000, 'Reward': 62.88333333333332}
{'Survive': 0, 'Schedule': 26, 'Execution': 45, 'Endtime': 21, 'Invalid': 43, 'Global Episode': 46000, 'Reward': 41.075}
{'Survive': 0, 'Schedule': 31, 'Execution': 46, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 47000, 'Reward': 44.925}
{'Survive': 0, 'Schedule': 29, 'Execution': 48, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 48000, 'Reward': 47.75416666666666}
{'Survive': 0, 'Schedule': 27, 'Execution': 47, 'Endtime': 21, 'Invalid': 45, 'Global Episode': 49000, 'Reward': 42.9}
{'Survive': 0, 'Schedule': 28, 'Execution': 48, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 50000, 'Reward': 46.883333333333326}
{'Survive': 0, 'Schedule': 25, 'Execution': 46, 'Endtime': 21, 'Invalid': 35, 'Global Episode': 51000, 'Reward': 44.25}
{'Survive': 0, 'Schedule': 28, 'Execution': 48, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 52000, 'Reward': 46.883333333333326}
{'Survive': 0, 'Schedule': 31, 'Execution': 48, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 53000, 'Reward': 46.84583333333333}
{'Survive': 0, 'Schedule': 24, 'Execution': 38, 'Endtime': 21, 'Invalid': 43, 'Global Episode': 54000, 'Reward': 33.483333333333334}
{'Survive': 0, 'Schedule': 25, 'Execution': 44, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 55000, 'Reward': 41.70833333333333}
{'Survive': 0, 'Schedule': 32, 'Execution': 45, 'Endtime': 21, 'Invalid': 35, 'Global Episode': 56000, 'Reward': 44.69583333333334}
{'Survive': 0, 'Schedule': 25, 'Execution': 43, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 57000, 'Reward': 41.60833333333332}
{'Survive': 0, 'Schedule': 30, 'Execution': 54, 'Endtime': 21, 'Invalid': 34, 'Global Episode': 58000, 'Reward': 53.55}
{'Survive': 0, 'Schedule': 27, 'Execution': 46, 'Endtime': 21, 'Invalid': 42, 'Global Episode': 59000, 'Reward': 42.795833333333334}
{'Survive': 0, 'Schedule': 25, 'Execution': 44, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 60000, 'Reward': 41.70833333333333}
{'Survive': 0, 'Schedule': 28, 'Execution': 42, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 61000, 'Reward': 40.645833333333336}
{'Survive': 0, 'Schedule': 25, 'Execution': 45, 'Endtime': 21, 'Invalid': 39, 'Global Episode': 62000, 'Reward': 42.19583333333333}
{'Survive': 0, 'Schedule': 25, 'Execution': 43, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 63000, 'Reward': 41.60833333333332}
{'Survive': 0, 'Schedule': 28, 'Execution': 42, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 64000, 'Reward': 41.17083333333333}
{'Survive': 0, 'Schedule': 25, 'Execution': 44, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 65000, 'Reward': 41.70833333333333}
{'Survive': 0, 'Schedule': 27, 'Execution': 43, 'Endtime': 21, 'Invalid': 38, 'Global Episode': 66000, 'Reward': 40.770833333333336}
{'Survive': 0, 'Schedule': 28, 'Execution': 48, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 67000, 'Reward': 49.524999999999984}
{'Survive': 0, 'Schedule': 26, 'Execution': 43, 'Endtime': 21, 'Invalid': 39, 'Global Episode': 68000, 'Reward': 40.208333333333336}
{'Survive': 0, 'Schedule': 27, 'Execution': 46, 'Endtime': 21, 'Invalid': 42, 'Global Episode': 69000, 'Reward': 42.795833333333334}
{'Survive': 0, 'Schedule': 26, 'Execution': 42, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 70000, 'Reward': 39.93749999999999}
{'Survive': 0, 'Schedule': 30, 'Execution': 48, 'Endtime': 21, 'Invalid': 26, 'Global Episode': 71000, 'Reward': 50.504166666666656}
{'Survive': 0, 'Schedule': 30, 'Execution': 48, 'Endtime': 21, 'Invalid': 26, 'Global Episode': 72000, 'Reward': 50.504166666666656}
{'Survive': 0, 'Schedule': 28, 'Execution': 48, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 73000, 'Reward': 49.42083333333332}
{'Survive': 0, 'Schedule': 24, 'Execution': 39, 'Endtime': 21, 'Invalid': 43, 'Global Episode': 74000, 'Reward': 34.583333333333336}
{'Survive': 0, 'Schedule': 26, 'Execution': 43, 'Endtime': 21, 'Invalid': 39, 'Global Episode': 75000, 'Reward': 40.208333333333336}
{'Survive': 0, 'Schedule': 30, 'Execution': 48, 'Endtime': 21, 'Invalid': 26, 'Global Episode': 76000, 'Reward': 50.504166666666656}
{'Survive': 0, 'Schedule': 30, 'Execution': 57, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 77000, 'Reward': 58.54166666666666}
{'Survive': 0, 'Schedule': 36, 'Execution': 54, 'Endtime': 21, 'Invalid': 25, 'Global Episode': 78000, 'Reward': 57.56666666666665}
{'Survive': 0, 'Schedule': 28, 'Execution': 44, 'Endtime': 21, 'Invalid': 28, 'Global Episode': 79000, 'Reward': 44.98749999999998}
{'Survive': 0, 'Schedule': 29, 'Execution': 48, 'Endtime': 21, 'Invalid': 39, 'Global Episode': 80000, 'Reward': 46.27499999999999}
{'Survive': 0, 'Schedule': 28, 'Execution': 48, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 81000, 'Reward': 49.42083333333332}
{'Survive': 0, 'Schedule': 45, 'Execution': 87, 'Endtime': 41, 'Invalid': 51, 'Global Episode': 82000, 'Reward': 89.3125}
{'Survive': 0, 'Schedule': 30, 'Execution': 46, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 83000, 'Reward': 45.05833333333332}
{'Survive': 0, 'Schedule': 24, 'Execution': 38, 'Endtime': 16, 'Invalid': 32, 'Global Episode': 84000, 'Reward': 35.94166666666666}
{'Survive': 0, 'Schedule': 28, 'Execution': 49, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 85000, 'Reward': 47.75416666666666}
{'Survive': 0, 'Schedule': 31, 'Execution': 49, 'Endtime': 21, 'Invalid': 38, 'Global Episode': 86000, 'Reward': 47.787499999999994}
{'Survive': 0, 'Schedule': 29, 'Execution': 52, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 87000, 'Reward': 53.44166666666666}
{'Survive': 0, 'Schedule': 28, 'Execution': 44, 'Endtime': 21, 'Invalid': 28, 'Global Episode': 88000, 'Reward': 44.98749999999998}
{'Survive': 0, 'Schedule': 27, 'Execution': 55, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 89000, 'Reward': 54.77499999999999}
{'Survive': 0, 'Schedule': 28, 'Execution': 46, 'Endtime': 21, 'Invalid': 40, 'Global Episode': 90000, 'Reward': 43.73333333333333}
{'Survive': 0, 'Schedule': 26, 'Execution': 45, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 91000, 'Reward': 43.87916666666666}
{'Survive': 0, 'Schedule': 29, 'Execution': 52, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 92000, 'Reward': 53.44166666666666}
{'Survive': 0, 'Schedule': 27, 'Execution': 55, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 93000, 'Reward': 54.77499999999999}
{'Survive': 0, 'Schedule': 27, 'Execution': 50, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 94000, 'Reward': 49.42083333333332}
{'Survive': 0, 'Schedule': 25, 'Execution': 48, 'Endtime': 21, 'Invalid': 46, 'Global Episode': 95000, 'Reward': 42.71250000000001}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 34, 'Global Episode': 96000, 'Reward': 50.64166666666666}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 97000, 'Reward': 52.08749999999999}
{'Survive': 0, 'Schedule': 27, 'Execution': 54, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 98000, 'Reward': 53.77499999999999}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 99000, 'Reward': 52.08749999999999}
{'Survive': 0, 'Schedule': 23, 'Execution': 44, 'Endtime': 16, 'Invalid': 27, 'Global Episode': 100000, 'Reward': 43.55}
Checkpoint saved to ckpt/sim201722437658_100000.pth
{'Survive': 0, 'Schedule': 26, 'Execution': 48, 'Endtime': 21, 'Invalid': 35, 'Global Episode': 101000, 'Reward': 46.08749999999999}
{'Survive': 0, 'Schedule': 24, 'Execution': 46, 'Endtime': 16, 'Invalid': 24, 'Global Episode': 102000, 'Reward': 46.508333333333326}
{'Survive': 0, 'Schedule': 27, 'Execution': 50, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 103000, 'Reward': 50.46249999999999}
{'Survive': 0, 'Schedule': 24, 'Execution': 46, 'Endtime': 16, 'Invalid': 24, 'Global Episode': 104000, 'Reward': 46.508333333333326}
{'Survive': 0, 'Schedule': 30, 'Execution': 53, 'Endtime': 21, 'Invalid': 27, 'Global Episode': 105000, 'Reward': 55.879166666666656}
{'Survive': 0, 'Schedule': 31, 'Execution': 53, 'Endtime': 21, 'Invalid': 26, 'Global Episode': 106000, 'Reward': 56.09166666666666}
{'Survive': 0, 'Schedule': 29, 'Execution': 52, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 107000, 'Reward': 53.85833333333333}
{'Survive': 0, 'Schedule': 29, 'Execution': 52, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 108000, 'Reward': 53.85833333333333}
{'Survive': 0, 'Schedule': 27, 'Execution': 55, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 109000, 'Reward': 54.77499999999999}
{'Survive': 0, 'Schedule': 30, 'Execution': 53, 'Endtime': 21, 'Invalid': 27, 'Global Episode': 110000, 'Reward': 55.46249999999999}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 34, 'Global Episode': 111000, 'Reward': 55.149999999999984}
{'Survive': 0, 'Schedule': 26, 'Execution': 45, 'Endtime': 21, 'Invalid': 38, 'Global Episode': 112000, 'Reward': 42.175}
{'Survive': 0, 'Schedule': 28, 'Execution': 50, 'Endtime': 21, 'Invalid': 39, 'Global Episode': 113000, 'Reward': 47.545833333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 34, 'Global Episode': 114000, 'Reward': 55.087499999999984}
{'Survive': 0, 'Schedule': 27, 'Execution': 53, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 115000, 'Reward': 52.716666666666654}
{'Survive': 0, 'Schedule': 27, 'Execution': 54, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 116000, 'Reward': 53.77499999999999}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 117000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 118000, 'Reward': 52.08749999999999}
{'Survive': 0, 'Schedule': 22, 'Execution': 41, 'Endtime': 16, 'Invalid': 31, 'Global Episode': 119000, 'Reward': 39.233333333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 120000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 28, 'Execution': 52, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 121000, 'Reward': 52.254166666666656}
{'Survive': 0, 'Schedule': 30, 'Execution': 52, 'Endtime': 21, 'Invalid': 28, 'Global Episode': 122000, 'Reward': 54.00416666666666}
{'Survive': 0, 'Schedule': 30, 'Execution': 49, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 123000, 'Reward': 48.02499999999999}
{'Survive': 0, 'Schedule': 29, 'Execution': 49, 'Endtime': 21, 'Invalid': 38, 'Global Episode': 124000, 'Reward': 47.400000000000006}
{'Survive': 0, 'Schedule': 26, 'Execution': 45, 'Endtime': 21, 'Invalid': 38, 'Global Episode': 125000, 'Reward': 42.175}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 126000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 29, 'Execution': 59, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 127000, 'Reward': 60.358333333333334}
{'Survive': 0, 'Schedule': 27, 'Execution': 53, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 128000, 'Reward': 51.254166666666656}
{'Survive': 0, 'Schedule': 30, 'Execution': 53, 'Endtime': 21, 'Invalid': 27, 'Global Episode': 129000, 'Reward': 55.46249999999999}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 130000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 28, 'Execution': 53, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 131000, 'Reward': 54.27083333333332}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 132000, 'Reward': 55.608333333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 53, 'Endtime': 21, 'Invalid': 27, 'Global Episode': 133000, 'Reward': 55.254166666666656}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 134000, 'Reward': 52.08749999999999}
{'Survive': 0, 'Schedule': 30, 'Execution': 51, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 135000, 'Reward': 50.275000000000006}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 136000, 'Reward': 52.08749999999999}
{'Survive': 0, 'Schedule': 28, 'Execution': 53, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 137000, 'Reward': 51.483333333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 51, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 138000, 'Reward': 49.75416666666667}
{'Survive': 0, 'Schedule': 30, 'Execution': 53, 'Endtime': 21, 'Invalid': 27, 'Global Episode': 139000, 'Reward': 55.46249999999999}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 140000, 'Reward': 52.08749999999999}
{'Survive': 0, 'Schedule': 30, 'Execution': 51, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 141000, 'Reward': 49.81666666666667}
{'Survive': 0, 'Schedule': 27, 'Execution': 53, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 142000, 'Reward': 51.35833333333333}
{'Survive': 0, 'Schedule': 24, 'Execution': 46, 'Endtime': 16, 'Invalid': 24, 'Global Episode': 143000, 'Reward': 46.508333333333326}
{'Survive': 0, 'Schedule': 27, 'Execution': 46, 'Endtime': 21, 'Invalid': 39, 'Global Episode': 144000, 'Reward': 43.31666666666666}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 145000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 146000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 25, 'Execution': 46, 'Endtime': 21, 'Invalid': 40, 'Global Episode': 147000, 'Reward': 43.10416666666667}
{'Survive': 0, 'Schedule': 24, 'Execution': 46, 'Endtime': 16, 'Invalid': 24, 'Global Episode': 148000, 'Reward': 46.508333333333326}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 149000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 29, 'Execution': 60, 'Endtime': 21, 'Invalid': 28, 'Global Episode': 150000, 'Reward': 61.608333333333334}
{'Survive': 0, 'Schedule': 31, 'Execution': 52, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 151000, 'Reward': 54.13333333333332}
{'Survive': 0, 'Schedule': 23, 'Execution': 46, 'Endtime': 16, 'Invalid': 28, 'Global Episode': 152000, 'Reward': 45.39999999999999}
{'Survive': 0, 'Schedule': 24, 'Execution': 46, 'Endtime': 16, 'Invalid': 24, 'Global Episode': 153000, 'Reward': 46.508333333333326}
{'Survive': 0, 'Schedule': 28, 'Execution': 50, 'Endtime': 21, 'Invalid': 31, 'Global Episode': 154000, 'Reward': 50.820833333333326}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 155000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 28, 'Execution': 55, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 156000, 'Reward': 54.25416666666667}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 157000, 'Reward': 52.08749999999999}
{'Survive': 0, 'Schedule': 28, 'Execution': 53, 'Endtime': 21, 'Invalid': 36, 'Global Episode': 158000, 'Reward': 51.483333333333334}
{'Survive': 0, 'Schedule': 29, 'Execution': 52, 'Endtime': 21, 'Invalid': 31, 'Global Episode': 159000, 'Reward': 52.904166666666654}
{'Survive': 0, 'Schedule': 28, 'Execution': 51, 'Endtime': 21, 'Invalid': 35, 'Global Episode': 160000, 'Reward': 50.19166666666667}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 161000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 24, 'Execution': 46, 'Endtime': 16, 'Invalid': 24, 'Global Episode': 162000, 'Reward': 46.508333333333326}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 163000, 'Reward': 55.462500000000006}
{'Survive': 0, 'Schedule': 29, 'Execution': 59, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 164000, 'Reward': 60.358333333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 165000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 166000, 'Reward': 55.462500000000006}
{'Survive': 0, 'Schedule': 29, 'Execution': 52, 'Endtime': 21, 'Invalid': 29, 'Global Episode': 167000, 'Reward': 53.44166666666666}
{'Survive': 0, 'Schedule': 28, 'Execution': 57, 'Endtime': 21, 'Invalid': 31, 'Global Episode': 168000, 'Reward': 57.275}
{'Survive': 0, 'Schedule': 30, 'Execution': 51, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 169000, 'Reward': 49.962500000000006}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 170000, 'Reward': 55.608333333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 171000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 31, 'Execution': 55, 'Endtime': 21, 'Invalid': 31, 'Global Episode': 172000, 'Reward': 56.404166666666654}
{'Survive': 0, 'Schedule': 26, 'Execution': 51, 'Endtime': 21, 'Invalid': 37, 'Global Episode': 173000, 'Reward': 48.96666666666666}
{'Survive': 0, 'Schedule': 29, 'Execution': 51, 'Endtime': 21, 'Invalid': 30, 'Global Episode': 174000, 'Reward': 52.08749999999999}
{'Survive': 0, 'Schedule': 31, 'Execution': 55, 'Endtime': 21, 'Invalid': 31, 'Global Episode': 175000, 'Reward': 56.404166666666654}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 176000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 177000, 'Reward': 55.670833333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 55, 'Endtime': 21, 'Invalid': 32, 'Global Episode': 178000, 'Reward': 55.608333333333334}
{'Survive': 0, 'Schedule': 30, 'Execution': 53, 'Endtime': 21, 'Invalid': 27, 'Global Episode': 179000, 'Reward': 55.46249999999999}
{'Survive': 0, 'Schedule': 26, 'Execution': 49, 'Endtime': 21, 'Invalid': 39, 'Global Episode': 180000, 'Reward': 46.3}
{'Survive': 0, 'Schedule': 28, 'Execution': 56, 'Endtime': 21, 'Invalid': 33, 'Global Episode': 181000, 'Reward': 56.12916666666667}
{'Survive': 0, 'Schedule': 28, 'Execution': 57, 'Endtime': 21, 'Invalid': 31, 'Global Episode': 182000, 'Reward': 57.275}
